API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
321636324,2174,321638498,14702247,336340745,8928,14713349,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321639249,2034,321641283,14708646,336349929,292859,15003539,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321641714,2625,321644339,14998705,336643044,8928,15010258,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321644779,2265,321647044,15005184,336652228,288699,15296148,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321647475,2154,321649629,15291554,336941183,8928,15302636,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321650540,2375,321652915,15297420,336950335,292283,15592078,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321653356,2204,321655560,15587314,337242874,8896,15598414,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321656151,2164,321658315,15593679,337251994,297723,15893566,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321658876,1954,321660830,15889111,337549941,8959,15900024,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321661591,2645,321664236,15894888,337559124,297147,16194680,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
